player_class,deck_id,match_count,win_rate,games_played
2,1352918,51,0.666666667,68
2,16168831,169,0.591715976,238
2,12641963,166,0.554216867,240
2,12325386,299,0.548494983,434
2,11440644,75,0.546666667,109
2,1554024,222,0.536036036,325
2,15447726,57,0.526315789,84
2,15049226,59,0.525423729,87
2,1404876,65,0.523076923,96
2,13640351,73,0.520547945,108
2,8253069,56,0.517857143,83
2,1341269,198,0.51010101,295
2,14566926,51,0.509803922,76
2,9971692,318,0.5,477
2,492386,58,0.5,87
2,16894580,55,0.490909091,83
2,14835362,115,0.486956522,174
2,16165466,61,0.475409836,93
2,11078325,291,0.474226804,444
2,12153824,66,0.46969697,101
2,2429932,105,0.457142857,162
2,1006228,189,0.455026455,292
2,7569724,74,0.445945946,115
2,9,85,0.435294118,133
2,10116099,101,0.425742574,159
2,6617777,125,0.4,200
2,1637799,76,0.394736842,122
3,16639574,64,0.65625,86
3,16923369,56,0.642857143,76
3,16117229,262,0.610687023,364
3,320306,59,0.610169492,82
3,14204100,54,0.592592593,76
3,1952515,54,0.592592593,76
3,15968559,57,0.578947368,81
3,16096200,92,0.576086957,131
3,15999377,86,0.569767442,123
3,12962404,144,0.569444444,206
3,17009133,1036,0.55984556,1492
3,10524722,165,0.557575758,238
3,13159394,251,0.549800797,364
3,11928119,77,0.545454545,112
3,15375441,1047,0.544412607,1524
3,11926411,197,0.543147208,287
3,13264661,125,0.536,183
3,17185733,58,0.534482759,85
3,17032073,55,0.527272727,81
3,358015,419,0.525059666,618
3,584346,71,0.521126761,105
3,10560434,75,0.52,111
3,16261768,208,0.519230769,308
3,10700444,1310,0.514503817,1946
3,14530179,56,0.5,84
3,1372620,436,0.497706422,655
3,1752729,62,0.483870968,94
3,12714524,121,0.462809917,186
3,15676377,52,0.461538462,80
3,16244099,149,0.44966443,231
3,15864928,65,0.446153846,101
3,9,109,0.403669725,174
4,17024732,69,0.637681159,94
4,3265918,55,0.636363636,75
4,15584480,85,0.635294118,116
4,5348789,123,0.585365854,174
4,2358806,89,0.573033708,127
4,683753,56,0.571428571,80
4,3059400,85,0.541176471,124
4,1766151,185,0.540540541,270
4,15628711,69,0.536231884,101
4,12974479,84,0.535714286,123
4,1062605,58,0.534482759,85
4,8533286,253,0.533596838,371
4,1071674,239,0.531380753,351
4,14250363,51,0.529411765,75
4,13054478,101,0.524752475,149
4,12607003,339,0.519174041,502
4,11490082,236,0.516949153,350
4,1114750,97,0.515463918,144
4,10735033,58,0.5,87
4,12335884,97,0.494845361,146
4,9,174,0.465517241,267
4,2403004,593,0.463743676,911
4,14481650,339,0.460176991,522
4,371638,71,0.450704225,110
4,103881,2258,0.449955713,3500
4,11309558,105,0.438095238,164
4,2167409,69,0.434782609,108
4,1172848,419,0.429594272,658
4,32138,119,0.420168067,188
4,29363,76,0.407894737,121
5,12867713,57,0.543859649,83
5,12316106,54,0.518518519,80
5,5758088,102,0.5,153
5,16072101,752,0.496010638,1131
5,984876,62,0.483870968,94
5,13195044,81,0.481481481,123
5,16216313,191,0.476439791,291
5,949128,71,0.464788732,109
5,138915,829,0.464414958,1273
5,1228702,115,0.460869565,177
5,13098251,102,0.460784314,157
5,16698628,88,0.443181818,137
5,1813229,55,0.418181818,87
5,9,76,0.407894737,121
6,1680012,94,0.521276596,139
6,9020309,302,0.433774834,473
6,16317893,119,0.428571429,187
6,12333563,91,0.417582418,144
7,244937,60,0.583333333,85
7,12814206,126,0.579365079,179
7,3501109,68,0.558823529,98
7,2586686,63,0.523809524,93
7,1269728,2086,0.515340364,3097
7,12823692,92,0.510869565,137
7,1625597,55,0.509090909,82
7,12669564,149,0.496644295,224
7,11545096,98,0.489795918,148
7,14815877,298,0.469798658,456
7,3510488,57,0.456140351,88
7,1343411,97,0.453608247,150
7,153998,425,0.442352941,662
7,1687335,53,0.433962264,83
7,1699476,93,0.408602151,148
7,9,73,0.369863014,119
8,11086628,63,0.777777778,77
8,10024798,74,0.648648649,100
8,10018549,77,0.636363636,105
8,10634086,90,0.633333333,123
8,10823249,57,0.631578947,78
8,10915124,80,0.625,110
8,10680774,74,0.621621622,102
8,10654489,96,0.614583333,133
8,11347116,75,0.613333333,104
8,10306734,91,0.604395604,127
8,10065694,1115,0.597309417,1564
8,10047551,124,0.596774194,174
8,11957790,57,0.596491228,80
8,16372180,78,0.58974359,110
8,10525087,107,0.588785047,151
8,11297145,63,0.587301587,89
8,10078412,53,0.58490566,75
8,10157442,168,0.583333333,238
8,10233511,62,0.580645161,88
8,10378463,381,0.580052493,541
8,11471795,431,0.580046404,612
8,12116301,139,0.575539568,198
8,9348866,1230,0.574796748,1753
8,10123242,385,0.574025974,549
8,10680627,61,0.573770492,87
8,11514875,149,0.570469799,213
8,11651327,235,0.570212766,336
8,13792329,520,0.569230769,744
8,10036307,3348,0.56869773,4792
8,11604208,347,0.567723343,497
8,4821295,407,0.567567568,583
8,10108469,370,0.567567568,530
8,10198321,159,0.566037736,228
8,10438594,1372,0.562682216,1972
8,10026142,840,0.561904762,1208
8,10230285,73,0.561643836,105
8,10955927,141,0.560283688,203
8,11077647,311,0.559485531,448
8,10054611,401,0.558603491,578
8,10669829,206,0.558252427,297
8,11301378,52,0.557692308,75
8,13553897,126,0.555555556,182
8,11627919,65,0.553846154,94
8,829047,76,0.552631579,110
8,10948541,203,0.551724138,294
8,15681976,51,0.549019608,74
8,10764778,332,0.548192771,482
8,12579096,462,0.547619048,671
8,10074902,274,0.547445255,398
8,10515865,492,0.544715447,716
8,10239515,325,0.544615385,473
8,6599143,101,0.544554455,147
8,10928271,57,0.543859649,83
8,10332929,162,0.543209877,236
8,13693989,72,0.541666667,105
8,15599034,67,0.537313433,98
8,10087233,189,0.529100529,278
8,10885664,70,0.528571429,103
8,16121408,53,0.528301887,78
8,10728686,345,0.524637681,509
8,11532879,63,0.523809524,93
8,10069007,209,0.5215311,309
8,11415802,309,0.517799353,458
8,10113716,89,0.516853933,132
8,10478950,70,0.514285714,104
8,10111039,159,0.509433962,237
8,1162794,63,0.507936508,94
8,6990310,134,0.507462687,200
8,10880759,179,0.502793296,268
8,10486683,166,0.5,249
8,12010778,194,0.484536082,294
8,12452722,67,0.47761194,102
8,11126036,55,0.472727273,84
8,12059130,61,0.459016393,94
8,9,259,0.451737452,401
8,12593844,60,0.45,93
8,13570098,80,0.425,126
9,7881668,58,0.672413793,77
9,942354,104,0.596153846,146
9,16852624,59,0.559322034,85
9,686749,889,0.553430821,1286
9,10623450,78,0.551282051,113
9,3165893,91,0.549450549,132
9,16002165,85,0.541176471,124
9,10105630,73,0.534246575,107
9,12629730,532,0.533834586,780
9,10209166,126,0.507936508,188
9,316294,596,0.501677852,893
9,10032981,112,0.5,168
9,1237904,62,0.419354839,98
9,9,65,0.338461538,108
9,1668301,149,0.32885906,249
10,17122864,79,0.582278481,112
10,3191209,133,0.578947368,189
10,128093,94,0.563829787,135
10,12446067,864,0.563657407,1241
10,57499,376,0.561170213,541
10,12123,77,0.545454545,112
10,84993,81,0.543209877,118
10,1356920,85,0.541176471,124
10,9440013,542,0.535055351,794
10,4236942,66,0.53030303,97
10,624627,54,0.518518519,80
10,5615,64,0.515625,95
10,1580761,1120,0.5125,1666
10,499860,157,0.50955414,234
10,7832,61,0.508196721,91
10,17682,167,0.502994012,250
10,282533,104,0.5,156
10,3363682,74,0.5,111
10,3313,85,0.494117647,128
10,2900938,67,0.492537313,101
10,11518881,174,0.488505747,263
10,20994,208,0.471153846,318
10,648144,83,0.469879518,127
10,16107537,56,0.464285714,86
10,2468904,54,0.444444444,84
10,13034936,122,0.442622951,190
10,10083597,273,0.428571429,429
10,9,189,0.412698413,300
10,746924,54,0.407407407,86
10,8846765,58,0.396551724,93
10,13680994,69,0.376811594,112
10,4455162,64,0.359375,105
10,1991885,59,0.338983051,98
