year,month,day,player_class,deck_id,match_count,win_rate,archetype,card_list,card_ids
2016,10,19,7,20480198,541,48.61,MIRACLE_ROGUE,"['Backstab', 'Backstab', 'Preparation', 'Preparation', 'Cold Blood', 'Cold Blood', 'Conceal', 'Conceal', 'Swashburglar', 'Swashburglar', 'Eviscerate', 'Eviscerate', 'Undercity Huckster', 'Undercity Huckster', 'Edwin VanCleef', 'Fan of Knives', 'Fan of Knives', 'Questing Adventurer', 'Questing Adventurer', 'SI:7 Agent', 'SI:7 Agent', 'Shadow Strike', 'Shadow Strike', 'Barnes', 'Tomb Pillager', 'Tomb Pillager', 'Azure Drake', 'Azure Drake', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer']","['CS2_072', 'CS2_072', 'EX1_145', 'EX1_145', 'CS2_073', 'CS2_073', 'EX1_128', 'EX1_128', 'KAR_069', 'KAR_069', 'EX1_124', 'EX1_124', 'OG_330', 'OG_330', 'EX1_613', 'EX1_129', 'EX1_129', 'EX1_044', 'EX1_044', 'EX1_134', 'EX1_134', 'OG_176', 'OG_176', 'KAR_114', 'LOE_012', 'LOE_012', 'EX1_284', 'EX1_284', 'EX1_095', 'EX1_095']"
2016,10,19,7,153998,258,46.51,MIRACLE_ROGUE,"['Backstab', 'Backstab', 'Preparation', 'Preparation', 'Cold Blood', 'Cold Blood', 'Conceal', 'Conceal', 'Deadly Poison', 'Deadly Poison', 'Bloodmage Thalnos', 'Eviscerate', 'Eviscerate', 'Sap', 'Sap', 'Edwin VanCleef', 'Fan of Knives', 'Fan of Knives', 'Questing Adventurer', 'Questing Adventurer', 'SI:7 Agent', 'SI:7 Agent', 'Shadow Strike', 'Tomb Pillager', 'Tomb Pillager', 'Azure Drake', 'Azure Drake', 'Leeroy Jenkins', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer']","['CS2_072', 'CS2_072', 'EX1_145', 'EX1_145', 'CS2_073', 'CS2_073', 'EX1_128', 'EX1_128', 'CS2_074', 'CS2_074', 'EX1_012', 'EX1_124', 'EX1_124', 'EX1_581', 'EX1_581', 'EX1_613', 'EX1_129', 'EX1_129', 'EX1_044', 'EX1_044', 'EX1_134', 'EX1_134', 'OG_176', 'LOE_012', 'LOE_012', 'EX1_284', 'EX1_284', 'EX1_116', 'EX1_095', 'EX1_095']"
2016,10,19,7,21206698,564,46.10,MIRACLE_ROGUE,"['Backstab', 'Backstab', 'Preparation', 'Preparation', 'Cold Blood', 'Cold Blood', 'Conceal', 'Conceal', 'Swashburglar', 'Swashburglar', 'Eviscerate', 'Eviscerate', 'Undercity Huckster', 'Edwin VanCleef', 'Fan of Knives', 'Fan of Knives', 'Questing Adventurer', 'Questing Adventurer', 'SI:7 Agent', 'SI:7 Agent', 'Shadow Strike', 'Shadow Strike', 'Barnes', 'Tomb Pillager', 'Tomb Pillager', 'Azure Drake', 'Azure Drake', 'Gadgetzan Auctioneer', 'Gadgetzan Auctioneer', 'Arcane Giant']","['CS2_072', 'CS2_072', 'EX1_145', 'EX1_145', 'CS2_073', 'CS2_073', 'EX1_128', 'EX1_128', 'KAR_069', 'KAR_069', 'EX1_124', 'EX1_124', 'OG_330', 'EX1_613', 'EX1_129', 'EX1_129', 'EX1_044', 'EX1_044', 'EX1_134', 'EX1_134', 'OG_176', 'OG_176', 'KAR_114', 'LOE_012', 'LOE_012', 'EX1_284', 'EX1_284', 'EX1_095', 'EX1_095', 'KAR_711']"
2016,10,19,8,10239515,215,67.91,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Barnes', 'Azure Drake', 'Azure Drake', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Fire Elemental', 'Thing from Below', 'Thing from Below']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'KAR_114', 'EX1_284', 'EX1_284', 'EX1_558', 'AT_049', 'AT_049', 'CS2_042', 'CS2_042', 'OG_028', 'OG_028']"
2016,10,19,8,10233511,188,65.96,MIDRANGE_SHAMAN,"['Argent Squire', 'Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Flamewreathed Faceless', 'Azure Drake', 'Azure Drake', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Fire Elemental', 'Thing from Below', 'Thing from Below']","['EX1_008', 'EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'OG_024', 'EX1_284', 'EX1_284', 'AT_049', 'AT_049', 'CS2_042', 'CS2_042', 'OG_028', 'OG_028']"
2016,10,19,8,16688579,237,65.40,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Mana Tide Totem', 'Mana Tide Totem', 'Azure Drake', 'Azure Drake', 'Bloodlust', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Fire Elemental', 'Thing from Below', 'Thing from Below', ""Al'Akir the Windlord""]","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_575', 'EX1_575', 'EX1_284', 'EX1_284', 'CS2_046', 'AT_049', 'AT_049', 'CS2_042', 'CS2_042', 'OG_028', 'OG_028', 'NEW1_010']"
2016,10,19,8,12072872,174,64.37,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Mana Tide Totem', 'Mana Tide Totem', 'Barnes', 'Azure Drake', 'Azure Drake', 'Bloodlust', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Thing from Below', 'Thing from Below', 'Ragnaros the Firelord']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_575', 'EX1_575', 'KAR_114', 'EX1_284', 'EX1_284', 'CS2_046', 'AT_049', 'AT_049', 'CS2_042', 'OG_028', 'OG_028', 'EX1_298']"
2016,10,19,8,10108469,294,63.61,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Mana Tide Totem', 'Barnes', 'Azure Drake', 'Azure Drake', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Thing from Below', 'Thing from Below']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'EX1_575', 'KAR_114', 'EX1_284', 'EX1_284', 'EX1_558', 'AT_049', 'AT_049', 'CS2_042', 'OG_028', 'OG_028']"
2016,10,19,8,11590380,285,63.51,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Barnes', 'Azure Drake', 'Azure Drake', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Thing from Below', 'Thing from Below', ""Al'Akir the Windlord""]","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'KAR_114', 'EX1_284', 'EX1_284', 'EX1_558', 'AT_049', 'AT_049', 'CS2_042', 'OG_028', 'OG_028', 'NEW1_010']"
2016,10,19,8,10087233,822,61.44,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Mana Tide Totem', 'Azure Drake', 'Azure Drake', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Thing from Below', 'Thing from Below', 'Ragnaros the Firelord']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'EX1_575', 'EX1_284', 'EX1_284', 'EX1_558', 'AT_049', 'AT_049', 'CS2_042', 'OG_028', 'OG_028', 'EX1_298']"
2016,10,19,8,10074902,632,61.39,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Flamewreathed Faceless', 'Azure Drake', 'Azure Drake', 'Bloodlust', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Fire Elemental', 'Thing from Below', 'Thing from Below']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'OG_024', 'EX1_284', 'EX1_284', 'CS2_046', 'AT_049', 'AT_049', 'CS2_042', 'CS2_042', 'OG_028', 'OG_028']"
2016,10,19,8,10198321,207,61.35,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Argent Horserider', 'Feral Spirit', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Mana Tide Totem', 'Azure Drake', 'Azure Drake', 'Bloodlust', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Thing from Below', 'Thing from Below']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'AT_087', 'EX1_248', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'EX1_575', 'EX1_284', 'EX1_284', 'CS2_046', 'EX1_558', 'AT_049', 'AT_049', 'OG_028', 'OG_028']"
2016,10,19,8,4821295,298,61.07,MIDRANGE_SHAMAN,"['Lightning Bolt', 'Lightning Bolt', 'Spirit Claws', 'Spirit Claws', 'Tunnel Trogg', 'Tunnel Trogg', 'Bloodmage Thalnos', 'Flametongue Totem', 'Flametongue Totem', 'Maelstrom Portal', 'Maelstrom Portal', 'Totem Golem', 'Totem Golem', 'Feral Spirit', 'Hex', 'Hex', 'Lightning Storm', 'Lightning Storm', 'Mana Tide Totem', 'Tuskarr Totemic', 'Tuskarr Totemic', 'Azure Drake', 'Azure Drake', 'Harrison Jones', 'Thunder Bluff Valiant', 'Thunder Bluff Valiant', 'Fire Elemental', 'Fire Elemental', 'Thing from Below', 'Thing from Below']","['EX1_238', 'EX1_238', 'KAR_063', 'KAR_063', 'LOE_018', 'LOE_018', 'EX1_012', 'EX1_565', 'EX1_565', 'KAR_073', 'KAR_073', 'AT_052', 'AT_052', 'EX1_248', 'EX1_246', 'EX1_246', 'EX1_259', 'EX1_259', 'EX1_575', 'AT_046', 'AT_046', 'EX1_284', 'EX1_284', 'EX1_558', 'AT_049', 'AT_049', 'CS2_042', 'CS2_042', 'OG_028', 'OG_028']"
